model,response_tokens_mean,response_tokens_median,response_tokens_std,response_tokens_min,response_tokens_max,total_tokens_mean,total_tokens_median,total_tokens_std,total_tokens_min,total_tokens_max,total_score_mean,total_score_median,score_per_token_mean,score_per_token_median,tokens_per_point_mean,tokens_per_point_median,n_samples
google__gemini-2.5-flash,43.98,49.0,26.0,1,137,73.99,76.0,26.24,22,177,90.24,97.0,8.05,1.89,0.49,0.53,845
openai__gpt-4.1,46.63,55.0,25.68,1,127,76.66,80.0,25.72,22,187,91.29,98.0,6.99,1.75,0.51,0.57,837
mistral-large__123b,49.69,56.0,27.67,1,162,79.67,81.5,27.99,22,202,87.08,95.0,6.32,1.61,0.59,0.62,836
mistral-small3.2__24b,45.05,51.0,24.74,1,156,75.08,77.0,25.32,22,206,85.12,94.0,5.95,1.78,0.54,0.56,841
anthropic__claude-sonnet-4.5,48.61,54.0,26.41,1,137,78.57,81.0,27.03,22,191,85.01,91.0,5.9,1.61,0.58,0.62,841
llama3.3__70b,56.48,65.0,33.6,1,500,86.49,91.0,34.02,22,547,86.3,95.0,5.24,1.42,0.76,0.71,845
llama4__16x17b,46.64,52.0,32.15,1,504,76.64,78.0,32.84,24,552,75.29,84.0,4.99,1.56,0.73,0.64,845
mixtral__8x22b,45.16,48.0,22.3,1,138,75.17,74.0,23.92,23,193,83.55,92.0,4.98,1.85,0.58,0.54,844
devstral__24b,45.47,48.0,25.6,1,211,75.48,75.0,26.4,21,251,84.1,93.0,4.73,1.76,0.56,0.57,844
gemma3__12b,63.85,73.0,29.58,1,186,93.85,100.0,28.71,23,231,82.01,94.0,4.04,1.25,inf,0.8,844
llama3.2__3b,43.06,44.0,25.35,1,140,73.07,72.0,25.41,22,194,45.09,33.0,3.36,1.0,inf,1.0,845
phi4-mini__3.8b,52.62,53.0,27.3,1,157,82.62,81.0,28.51,22,215,75.07,87.0,2.98,1.54,0.81,0.65,845
phi3__14b,55.08,57.0,27.64,1,406,85.08,85.0,28.99,25,437,76.58,87.0,2.75,1.41,inf,0.71,845
gemma3__4b,66.86,74.0,27.15,1,245,96.86,100.0,27.09,23,285,76.93,90.0,2.69,1.18,0.95,0.85,842
llama3.2__1b,61.73,70.0,31.85,1,238,91.73,97.0,31.79,25,313,61.68,67.0,2.31,1.03,1.21,0.97,845
gemma3__27b,72.5,74.0,20.4,1,146,102.51,103.0,21.89,22,190,86.05,95.0,1.68,1.21,0.9,0.83,845
gemma3__1b,72.97,78.0,22.95,2,187,102.97,105.0,23.59,24,224,66.77,74.0,1.4,1.0,inf,1.0,843
phi4__14b,69.75,66.0,27.05,3,430,99.77,95.0,29.62,25,478,85.54,95.0,1.39,1.33,0.89,0.75,842
phi3.5__3.8b,92.19,81.0,46.56,2,456,122.19,111.0,48.19,29,506,76.58,87.0,1.15,0.94,1.39,1.07,843
