model,Cross-Cutting Systems Engineering Methods,Lifecycle Stages,Specialty Engineering Activities,Systems Engineering Overview,Technical Management Processes,Technical Processes
openai__gpt-4.1,0.0821456692913386,0.0698993288590604,0.08456,0.08,0.08826530612244898,0.05918604651162791
anthropic__claude-sonnet-4.5,0.06485314685314686,0.04168981481481482,0.06539458186101296,0.09168224299065421,0.10456521739130435,0.05116279069767442
google__gemini-2.5-flash,0.10917597765363128,0.07967592592592593,0.07685814771395076,0.08384259259259261,0.09658008658008659,0.08648148148148148
llama4__16x17b,0.17596234309623432,0.1071875,0.14417543859649123,0.11881944444444444,0.19863636363636364,0.09666666666666666
mistral-small3.2__24b,0.1299163179916318,0.09399305555555555,0.09508771929824562,0.10875,0.18253246753246752,0.09090277777777778
phi4__14b,0.15539370078740158,0.05744966442953021,0.089216,0.11101851851851852,0.15005102040816326,0.07767441860465117
llama3.3__70b,0.13719665271966527,0.07222222222222223,0.09253801169590643,0.10787037037037038,0.14156521739130437,0.07277777777777777
devstral__24b,0.14304895104895105,0.12299303944315544,0.10574941451990633,0.12097222222222223,0.17259740259740258,0.09972222222222224
gemma3__27b,0.11951185495118549,0.057962962962962966,0.11304449648711945,0.1199537037037037,0.17177489177489177,0.07865116279069767
mixtral__8x22b,0.12405857740585775,0.09256944444444444,0.11105263157894738,0.13395833333333332,0.17935064935064934,0.08805555555555555
phi3__14b,0.21707112970711298,0.11274305555555555,0.16522807017543858,0.09305555555555556,0.20461038961038963,0.12881944444444446
gemma3__12b,0.11398884239888425,0.07930555555555555,0.13657309941520468,0.11185185185185186,0.1771861471861472,0.07
phi4-mini__3.8b,0.2485355648535565,0.1195486111111111,0.18105263157894738,0.1388888888888889,0.18181818181818182,0.10743055555555556
phi3.5__3.8b,0.1830753138075314,0.10600694444444445,0.13557894736842105,0.16125,0.2088961038961039,0.09590277777777778
mistral-large__123b,0.06276150627615062,0.015416666666666669,0.06101754385964912,0.08555555555555555,0.06636363636363637,0.042361111111111106
gemma3__4b,0.13658298465829846,0.11025522041763341,0.138046783625731,0.12796296296296297,0.1870995670995671,0.04930555555555557
llama3.2__3b,0.2878103207810321,0.4833644859813084,0.40543859649122804,0.5288425925925926,0.47230434782608693,0.3338425925925926
gemma3__1b,0.15018131101813112,0.12685185185185185,0.08577777777777779,0.12671296296296297,0.14743478260869566,-0.005046296296296292
llama3.2__1b,0.170836820083682,0.04125,0.1758830409356725,0.0811111111111111,0.12739130434782608,0.12217592592592592
