model,mean,ci_lower,ci_upper,ci_width
anthropic__claude-sonnet-4.5,,,,
devstral__24b,80.4076923076923,79.41845150921914,81.47394460174415,2.055493092525012
gemma3__12b,78.7284023668639,77.5217357155965,79.93491124260355,2.4131755270070414
gemma3__1b,63.65029585798816,62.36136893422039,64.80169474896074,2.440325814740355
gemma3__27b,82.44556213017752,81.57435818976309,83.54859199837102,1.9742338086079343
gemma3__4b,73.5378698224852,72.3631329777704,74.66254256107237,2.2994095833019657
google__gemini-2.5-flash,86.3,85.3538799523428,87.12803643343184,1.7741564810890509
llama3.2__1b,59.19822485207101,57.929624479188824,60.5409782975414,2.611353818352576
llama3.2__3b,42.29585798816568,40.605635475384695,44.05110490574175,3.4454694303570577
llama3.3__70b,82.64497041420118,81.64642386572478,83.59590421866774,1.949480352942956
llama4__16x17b,79.20118343195266,77.99394835836881,80.19238071125658,2.198432352887764
mistral-large__123b,83.38579881656804,82.51312093485352,84.39583114364925,1.8827102087957286
mistral-small3.2__24b,81.53076923076924,80.47842084613761,82.49036852107116,2.011947674933552
mixtral__8x22b,79.75621301775148,78.70539337693774,80.7952277092336,2.0898343322958652
openai__gpt-4.1,88.10236686390533,87.17218934911243,88.8750661529389,1.70287680382647
phi3.5__3.8b,73.32840236686391,72.19518786650158,74.35379178041033,2.158603913908749
phi3__14b,73.25798816568047,72.22459490920949,74.39067698420328,2.1660820749937955
phi4-mini__3.8b,71.26686390532544,70.13526618908054,72.48652246248791,2.3512562734073725
phi4__14b,82.18579881656805,81.21632274379238,83.24374769302487,2.027424949232497
