model,mcq_accuracy,osq_mean,delta_i
llama3.2__3b,0.8035502958579882,0.4229585798816568,0.3805917159763314
phi4-mini__3.8b,0.893491124260355,0.7126686390532544,0.18082248520710065
phi3__14b,0.8976331360946745,0.7325798816568048,0.16505325443786978
phi3.5__3.8b,0.8804733727810651,0.7332840236686391,0.14718934911242598
llama4__16x17b,0.9384615384615385,0.7920118343195266,0.14644970414201186
devstral__24b,0.9272189349112426,0.804076923076923,0.12314201183431961
llama3.2__1b,0.7109467455621302,0.59198224852071,0.1189644970414202
mixtral__8x22b,0.9124260355029585,0.7975621301775148,0.11486390532544377
gemma3__4b,0.849112426035503,0.735378698224852,0.11373372781065094
mistral-small3.2__24b,0.927810650887574,0.8153076923076924,0.11250295857988157
phi4__14b,0.9298816568047338,0.8218579881656806,0.10802366863905322
gemma3__12b,0.8920118343195266,0.787284023668639,0.10472781065088754
llama3.3__70b,0.9289940828402367,0.8264497041420118,0.10254437869822486
gemma3__27b,0.9230769230769231,0.8244556213017752,0.09862130177514794
google__gemini-2.5-flash,0.9556213017751479,0.863,0.09262130177514794
gemma3__1b,0.7189349112426036,0.6365029585798816,0.08243195266272196
openai__gpt-4.1,0.9591715976331361,0.8810236686390533,0.07814792899408274
anthropic__claude-sonnet-4.5,0.9543026706231454,0.8847240356083086,0.06957863501483685
mistral-large__123b,0.8872781065088757,0.8338579881656805,0.053420118343195266
