Model,Chi-Square,p (Chi-Square),Cramer's V,Friedman,p (Friedman),Kendall's W,Classification
llama3.2__1b,262.768709321941,1.1543471233786397e-55,0.2143328848912221,446.6221033868042,1.7584167923137737e-96,0.1301346455089755,Moderate bias
llama3.2__3b,224.04319170086168,2.5281364099536024e-47,0.1979100557260628,387.89926289925546,9.2503920979551e-84,0.1130242607515313,Moderate bias
gemma3__1b,167.34554076417862,3.88258799219351e-35,0.1710444779006646,285.09764918626155,1.6702610000216755e-61,0.0830704106020575,Moderate bias
phi4-mini__3.8b,71.63949516481946,1.0227325745473532e-14,0.1119124089034671,149.70093457944424,3.056891060891765e-32,0.0436191534322389,Moderate bias
mistral-small3.2__24b,30.472588884951573,3.921464768583551e-06,0.0729888736670688,58.83673469386591,1.0416732159661172e-12,0.0171435707149958,Mixed evidence
devstral__24b,27.499723711172685,1.5750662366401e-05,0.0693371762148544,58.151241534994455,1.4592258344005886e-12,0.0169438349460939,Mixed evidence
mistral-large__123b,21.7814601179027,0.0002215259213214,0.0617085696889817,43.74206896552651,1.712098041525736e-09,0.0127453580901883,Mixed evidence
anthropic__claude-sonnet-4.5,19.68781355178764,0.0005754815202265,0.0586679251901473,46.23843416371155,5.046594408472201e-10,0.0134727372271886,Mixed evidence
gemma3__4b,16.165999963468316,0.0028043164789382,0.0531622400754249,38.89285714284857,1.8287860186309026e-08,0.011332417582415,Mixed evidence
phi3.5__3.8b,13.907895606210769,0.0075948915764349,0.0493097381944588,37.23092783505388,4.111746121080749e-08,0.0108481724461112,Mixed evidence
gemma3__12b,12.094095163148872,0.0166650955241002,0.0459820867430981,30.721804511272072,9.727726844179051e-07,0.0089515747410466,Mixed evidence
phi3__14b,11.452378018311304,0.0219238477786422,0.0447455471439925,23.14519056261481,3.7664494919272615e-05,0.0067439366441185,Mixed evidence
llama3.3__70b,10.559134327041228,0.0319921055422793,0.0429651312662662,27.953757225453224,3.7141209441580423e-06,0.0081450341566005,Mixed evidence
gemma3__27b,9.24073698801794,0.0553559424682386,0.0401934504545665,22.72277227721549,4.612851644233999e-05,0.006620854393128,No bias
llama4__16x17b,8.805503439649781,0.0661491446940476,0.0392354900346669,21.63551401869795,7.76726783833266e-05,0.0063040542012523,No bias
phi4__14b,7.431601450185826,0.1147634760744082,0.0360448473815573,14.999999999998703,0.0018166489665734,0.0043706293706289,No bias
mixtral__8x22b,7.113533844360573,0.1300087454089064,0.0352650648371038,17.235546038534114,0.00063212275938,0.0050220122489901,No bias
openai__gpt-4.1,6.732009761128925,0.1507463728169369,0.0343063373651887,20.46961325968944,0.0001356495493735,0.0059643395278815,No bias
google__gemini-2.5-flash,1.1258967280240515,0.8901419366592357,0.0140297930245566,3.476635514021135,0.3238050832354278,0.0010130056859035,No bias
