Category,Mean MCQ Acc.,Mean OSQ Score,Mean Delta,Median Delta,|Delta| (%),N,Classification
Modeling and Simulation,1.0,0.7828,0.21719999999999998,0.11499999999999999,21.72,50,Dual-modality required
Modeling Frameworks and Methods,0.855147645650439,0.6585740888534184,0.19657355679702046,0.12,19.657355679702047,3759,Dual-modality required
"Decision Management, Analysis of Alternatives, and Tradespace Analysis",0.9464285714285714,0.7628409090909092,0.18358766233766236,0.10999999999999999,18.358766233766236,1232,Dual-modality required
System Safety Engineering,0.953125,0.77109375,0.18203125,0.14,18.203125,192,Dual-modality required
Configuration and Information Management,0.7928168130489335,0.6178230865746549,0.17499372647427855,0.12,17.499372647427855,1594,Dual-modality required
Usability and Human Systems Integration,0.957126586397657,0.7899576960624797,0.16716889033517737,0.08999999999999997,16.716889033517738,3073,Dual-modality required
Risk and Opportunity Management Process,0.9618018967334035,0.8097787144362487,0.15202318229715492,0.09999999999999998,15.202318229715491,949,Dual-modality required
"Supportability, Producibility and Disposability",0.9264024107556792,0.7749420491423273,0.15146036161335188,0.07999999999999996,15.14603616133519,2157,Dual-modality required
Application and Value of Systems Engineering,0.9562841530054644,0.8119854280510018,0.14429872495446266,0.10999999999999999,14.429872495446267,549,Dual-modality recommended
Generic Life Cycle Stages,0.982635342185904,0.8399387129724208,0.14269662921348314,0.07999999999999996,14.269662921348313,979,Dual-modality recommended
Systems Science and Thinking,0.9794215795328143,0.8433481646273637,0.1360734149054505,0.07999999999999996,13.60734149054505,899,Dual-modality recommended
System Concepts and Structures,0.9686046511627907,0.8361860465116279,0.13241860465116279,0.07999999999999996,13.241860465116279,2150,Dual-modality recommended
Electromagnetic Compatibility,0.6820801317233809,0.5529967069154774,0.1290834248079034,0.08999999999999997,12.908342480790342,1822,Dual-modality recommended
Modeling Language SysML v1.x,0.8418955688002073,0.7196436900751491,0.1222518787250583,0.09999999999999998,12.22518787250583,7718,Dual-modality recommended
Cost Modeling,0.9255191693290735,0.811517571884984,0.11400159744408947,0.07999999999999996,11.400159744408947,1252,Dual-modality recommended
Milestones and Reviews,0.8211050724637681,0.7143478260869565,0.1067572463768116,0.08999999999999997,10.67572463768116,2208,Dual-modality recommended
"Reliability, Availability, and Maintainability",0.9178652535957608,0.8125151400454201,0.10535011355034064,0.06000000000000005,10.535011355034065,5284,Dual-modality recommended
Lifecycle Phases,0.8702861727734689,0.7708050280823749,0.09948114469109387,0.07999999999999996,9.948114469109386,3739,Dual-modality recommended
Identifying Stakeholder Needs and Generating Requirements,0.9544829955341807,0.8585778083132944,0.0959051872208863,0.050000000000000044,9.59051872208863,2911,Dual-modality recommended
Architecture Definition Process,0.9207011686143572,0.845559265442404,0.07514190317195325,0.06999999999999995,7.514190317195325,599,Dual-modality recommended
