Model,sysengbench,sysengbench-a,sysengbench-b,sysengbench-c,sysengbench-d
devstral__24b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
gemma3__12b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3__1b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3__270m,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3__27b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3__4b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3n__e2b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gemma3n__e4b,✅ (2),✅ (1),✅ (1),✅ (1),✅ (1)
gpt-oss__20b,✅ (3),❌ (0),❌ (0),❌ (0),❌ (0)
llama3.2__1b,✅ (2),❌ (0),❌ (0),❌ (0),❌ (0)
llama3.2__3b,✅ (2),❌ (0),❌ (0),❌ (0),❌ (0)
llama3.3__70b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
magistral__24b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
mistral-small3.2__24b,✅ (2),❌ (0),❌ (0),❌ (0),❌ (0)
mistral__7b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
mistral__instruct,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
phi4-reasoning__14b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
phi4-reasoning__plus,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
qwen3__0.6b,✅ (2),✅ (1),❌ (0),❌ (0),❌ (0)
qwen3__1.7b,✅ (2),✅ (1),❌ (0),❌ (0),❌ (0)
qwen3__14b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
qwen3__30b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
qwen3__32b,✅ (1),❌ (0),❌ (0),❌ (0),❌ (0)
qwen3__4b,✅ (2),✅ (1),❌ (0),❌ (0),❌ (0)
qwen3__8b,✅ (2),✅ (1),❌ (0),❌ (0),❌ (0)
