variant,model,action,file
sysengbench,gemma3__27b,PRUNE,sysengbench/gemma3__27b/results_2025-09-20T05-51-39.158931.json
sysengbench,gemma3__27b,PRUNE,sysengbench/gemma3__27b/samples_sysengbench_2025-09-20T05-51-39.158931.jsonl
sysengbench,gemma3__4b,PRUNE,sysengbench/gemma3__4b/results_2025-09-20T05-38-25.477414.json
sysengbench,gemma3__4b,PRUNE,sysengbench/gemma3__4b/samples_sysengbench_2025-09-20T05-38-25.477414.jsonl
sysengbench-a,gemma3__27b,PRUNE,sysengbench-a/gemma3__27b/results_2025-09-20T20-54-50.780333.json
sysengbench-a,gemma3__27b,PRUNE,sysengbench-a/gemma3__27b/samples_sysengbench-a_2025-09-20T20-54-50.780333.jsonl
sysengbench-a,gemma3__4b,PRUNE,sysengbench-a/gemma3__4b/results_2025-09-20T20-42-15.151378.json
sysengbench-a,gemma3__4b,PRUNE,sysengbench-a/gemma3__4b/samples_sysengbench-a_2025-09-20T20-42-15.151378.jsonl
sysengbench-b,gemma3__27b,PRUNE,sysengbench-b/gemma3__27b/results_2025-09-21T10-23-21.537432.json
sysengbench-b,gemma3__27b,PRUNE,sysengbench-b/gemma3__27b/samples_sysengbench-b_2025-09-21T10-23-21.537432.jsonl
sysengbench-b,gemma3__4b,PRUNE,sysengbench-b/gemma3__4b/results_2025-09-21T10-04-57.578804.json
sysengbench-b,gemma3__4b,PRUNE,sysengbench-b/gemma3__4b/samples_sysengbench-b_2025-09-21T10-04-57.578804.jsonl
sysengbench-c,gemma3__27b,PRUNE,sysengbench-c/gemma3__27b/results_2025-09-21T19-30-48.567024.json
sysengbench-c,gemma3__27b,PRUNE,sysengbench-c/gemma3__27b/samples_sysengbench-c_2025-09-21T19-30-48.567024.jsonl
sysengbench-c,gemma3__4b,PRUNE,sysengbench-c/gemma3__4b/results_2025-09-21T19-15-01.080639.json
sysengbench-c,gemma3__4b,PRUNE,sysengbench-c/gemma3__4b/samples_sysengbench-c_2025-09-21T19-15-01.080639.jsonl
