model,n_samples,response_tokens_mean,response_tokens_median,response_tokens_std,total_score_mean,total_score_median,total_score_std,score_per_token_mean,score_per_token_median,tokens_per_point_mean,tokens_per_point_median,total_cost_mean,total_cost_sum
anthropic__claude-sonnet-4.5,841,48.609,54.0,26.413,85.006,91.0,18.431,5.9,1.611,0.582,0.621,0.001,0.472
devstral__24b,844,45.468,48.0,25.601,84.1,93.0,21.525,4.73,1.761,0.556,0.568,0.001,0.447
gemma3__12b,844,63.85,73.0,29.583,82.011,94.0,24.202,4.044,1.247,inf,0.802,0.001,0.602
gemma3__1b,843,72.968,78.0,22.946,66.771,74.0,26.533,1.402,1.0,inf,1.0,0.001,0.678
gemma3__27b,845,72.499,74.0,20.397,86.052,95.0,20.208,1.682,1.207,0.896,0.828,0.001,0.676
gemma3__4b,842,66.856,74.0,27.145,76.93,90.0,25.56,2.694,1.183,0.949,0.845,0.001,0.626
google__gemini-2.5-flash,845,43.981,49.0,26.005,90.24,97.0,17.157,8.051,1.887,0.488,0.53,0.001,0.435
llama3.2__1b,845,61.727,70.0,31.846,61.678,67.0,27.785,2.31,1.032,1.209,0.969,0.001,0.585
llama3.2__3b,845,43.063,44.0,25.349,45.086,33.0,36.904,3.364,1.0,inf,1.0,0.001,0.427
llama3.3__70b,845,56.479,65.0,33.597,86.301,95.0,20.326,5.241,1.417,0.755,0.706,0.001,0.541
llama4__16x17b,845,46.637,52.0,32.15,75.289,84.0,23.016,4.99,1.556,0.725,0.643,0.001,0.457
mistral-large__123b,836,49.691,56.0,27.668,87.075,95.0,19.512,6.317,1.615,0.588,0.619,0.001,0.478
mistral-small3.2__24b,841,45.049,51.0,24.737,85.115,94.0,21.385,5.95,1.776,0.537,0.563,0.001,0.442
mixtral__8x22b,844,45.16,48.0,22.301,83.555,92.0,21.197,4.983,1.852,0.581,0.54,0.001,0.444
openai__gpt-4.1,837,46.626,55.0,25.68,91.292,98.0,16.751,6.99,1.75,0.51,0.571,0.001,0.453
phi3.5__3.8b,843,92.187,81.0,46.56,76.581,87.0,22.847,1.146,0.939,1.391,1.065,0.001,0.84
phi3__14b,845,55.078,57.0,27.636,76.585,87.0,23.658,2.751,1.414,inf,0.707,0.001,0.529
phi4-mini__3.8b,845,52.617,53.0,27.303,75.072,87.0,24.882,2.976,1.542,0.807,0.648,0.001,0.508
phi4__14b,842,69.747,66.0,27.046,85.537,95.0,20.522,1.394,1.331,0.894,0.751,0.001,0.65
