model,friedman_stat,p_value,kendalls_w,n_questions,significant
anthropic__claude-sonnet-4.5,46.23843416371155,5.046594408472201e-10,0.013472737227188681,1144,Yes
devstral__24b,58.151241534994455,1.4592258344005884e-12,0.016943834946093955,1144,Yes
gemma3__12b,30.721804511272072,9.727726844179051e-07,0.008951574741046641,1144,Yes
gemma3__1b,285.09764918626155,1.6702610000216755e-61,0.08307041060205757,1144,Yes
gemma3__27b,22.72277227721549,4.6128516442339986e-05,0.006620854393128057,1144,Yes
gemma3__4b,38.89285714284857,1.8287860186309026e-08,0.011332417582415084,1144,Yes
google__gemini-2.5-flash,3.476635514021135,0.32380508323542784,0.001013005685903594,1144,No
llama3.2__1b,446.6221033868042,1.7584167923137735e-96,0.13013464550897558,1144,Yes
llama3.2__3b,387.89926289925546,9.250392097955099e-84,0.11302426075153131,1144,Yes
llama3.3__70b,27.953757225453224,3.7141209441580427e-06,0.008145034156600589,1144,Yes
llama4__16x17b,21.63551401869795,7.76726783833266e-05,0.006304054201252317,1144,Yes
mistral-large__123b,43.74206896552651,1.7120980415257362e-09,0.012745358090188376,1144,Yes
mistral-small3.2__24b,58.83673469386591,1.0416732159661172e-12,0.017143570714995893,1144,Yes
mixtral__8x22b,17.235546038534114,0.000632122759380036,0.0050220122489901264,1144,Yes
openai__gpt-4.1,20.46961325968944,0.00013564954937359526,0.005964339527881538,1144,Yes
phi3.5__3.8b,37.23092783505388,4.1117461210807484e-08,0.01084817244611127,1144,Yes
phi3__14b,23.145190562614815,3.7664494919272615e-05,0.006743936644118536,1144,Yes
phi4-mini__3.8b,149.70093457944424,3.0568910608917654e-32,0.043619153432238995,1144,Yes
phi4__14b,14.999999999998705,0.001816648966573431,0.004370629370628994,1144,Yes
