model,Application and Value of Systems Engineering,Architecture Definition Process,Configuration and Information Management,Cost Modeling,"Decision Management, Analysis of Alternatives, and Tradespace Analysis",Electromagnetic Compatibility,Generic Life Cycle Stages,Identifying Stakeholder Needs and Generating Requirements,Lifecycle Phases,Milestones and Reviews,Modeling Frameworks and Methods,Modeling Language SysML v1.x,Modeling and Simulation,"Reliability, Availability, and Maintainability",Risk and Opportunity Management Process,"Supportability, Producibility and Disposability",System Concepts and Structures,System Safety Engineering,Systems Science and Thinking,Usability and Human Systems Integration
openai__gpt-4.1,0.0490909090909091,0.06555555555555556,0.03408450704225352,0.0788888888888889,0.1302941176470588,0.10052631578947369,0.09480000000000001,0.05750000000000001,0.06493589743589744,0.06478260869565218,0.06725609756097561,0.08976539589442815,0.030000000000000027,0.06456928838951312,0.10561403508771931,0.09711111111111112,0.08333333333333333,0.11249999999999999,0.09092592592592592,0.10823076923076923
anthropic__claude-sonnet-4.5,0.0909375,0.044571428571428574,0.10181818181818182,0.005128205128205139,0.10337837837837838,-0.024336283185840708,0.05533333333333334,0.05244444444444445,0.06538461538461539,-0.004420289855072461,0.08364806866952791,0.05597077244258873,0.023333333333333355,0.05272445820433437,0.11087719298245614,0.1434848484848485,0.09356589147286822,0.07,0.08754716981132077,0.11026178010471205
google__gemini-2.5-flash,0.09575757575757576,0.08916666666666667,0.06151515151515152,0.1076923076923077,0.1264,-0.06389380530973451,0.13316666666666668,0.08594444444444445,0.09414529914529915,0.0318840579710145,0.10662393162393163,0.1105427974947808,0.09000000000000004,0.08309597523219814,0.11824561403508772,0.11955555555555555,0.08294573643410853,0.09333333333333334,0.0787037037037037,0.10562500000000001
llama4__16x17b,0.15772727272727272,0.09458333333333335,0.24651515151515152,0.10865384615384616,0.18099999999999997,0.23144736842105262,0.15075,0.09708333333333334,0.11256410256410256,0.07913043478260869,0.2255128205128205,0.15265625,0.040000000000000036,0.1225925925925926,0.1386842105263158,0.157,0.09534883720930233,0.19,0.1511111111111111,0.13132812500000002
mistral-small3.2__24b,0.08954545454545454,0.08125,0.19393939393939394,0.0678846153846154,0.20440000000000003,0.05434210526315791,0.09775,0.09283333333333334,0.07512820512820513,0.12434782608695652,0.1621794871794872,0.11434375000000001,0.10499999999999998,0.09796296296296296,0.13394736842105262,0.12033333333333333,0.09906976744186048,0.16749999999999998,0.1436111111111111,0.103203125
phi4__14b,0.12212121212121213,0.09944444444444443,0.17732394366197182,0.1024074074074074,0.1326470588235294,0.09631578947368422,0.0762,0.07191176470588236,0.05987179487179487,0.04315217391304348,0.18140243902439024,0.14390029325513196,0.04,0.06602996254681649,0.1368421052631579,0.12777777777777777,0.10348837209302326,0.10125,0.12222222222222223,0.09976923076923078
llama3.3__70b,0.08393939393939395,0.10472222222222222,0.17262626262626263,0.07807692307692307,0.10364864864864864,-0.029210526315789475,0.07716666666666668,0.0663888888888889,0.07264957264957266,0.06934782608695653,0.18717948717948718,0.11289583333333335,0.12666666666666662,0.10537037037037038,0.1368421052631579,0.10777777777777778,0.11372093023255815,0.04916666666666667,0.10851851851851851,0.14104166666666668
devstral__24b,0.13090909090909092,0.11555555555555556,0.21404040404040406,0.1103846153846154,0.14653333333333335,0.061754385964912284,0.13186440677966102,0.09655555555555558,0.10824786324786324,0.14420289855072463,0.17025641025641028,0.1305020920502092,0.020000000000000018,0.09583333333333334,0.1349122807017544,0.11474074074074075,0.1126356589147287,0.11833333333333335,0.13481481481481483,0.13979057591623037
gemma3__27b,0.12424242424242427,0.10222222222222223,0.19474747474747475,0.08666666666666667,0.16786666666666666,0.12096491228070176,0.07083333333333333,0.07391061452513967,0.029358974358974367,0.10086956521739131,0.19504273504273503,0.08229166666666667,0.18333333333333332,0.09901234567901233,0.13701754385964912,0.12992592592592592,0.11038759689922481,-0.011666666666666667,0.1401851851851852,0.13879581151832462
mixtral__8x22b,0.15727272727272726,0.09458333333333334,0.14303030303030304,0.07826923076923077,0.2286,0.1268421052631579,0.11875,0.08675000000000001,0.10935897435897435,0.05271739130434782,0.17858974358974358,0.096875,0.21999999999999997,0.09662037037037037,0.17763157894736842,0.12000000000000001,0.12767441860465117,0.1425,0.13472222222222224,0.13109375
