model,mean,ci_lower,ci_upper,ci_width
anthropic__claude-sonnet-4.5,,,,
devstral__24b,80.4076923076923,79.36812199983491,81.42899804442507,2.0608760445901595
gemma3__12b,78.7284023668639,77.57701566719467,79.97305469147219,2.3960390242775134
gemma3__1b,63.65029585798816,62.38705281844246,64.90416163517614,2.517108816733675
gemma3__27b,82.44556213017752,81.57674360133869,83.44290792391247,1.8661643225737805
gemma3__4b,73.5378698224852,72.25319180147542,74.71116443095531,2.457972629479883
google__gemini-2.5-flash,86.3,85.3653362203829,87.14051120098654,1.7751749806036372
llama3.2__1b,59.19822485207101,57.74425879042895,60.40557851348042,2.66131972305147
llama3.2__3b,42.29585798816568,40.81984149892029,44.05949919055718,3.239657691636893
llama3.3__70b,82.64497041420118,81.62552132837222,83.59658077997236,1.9710594516001407
llama4__16x17b,79.20118343195266,78.02171866257486,80.19464126285959,2.1729226002847355
mistral-large__123b,83.38579881656804,82.37772271987859,84.30926435394242,1.9315416340638336
mistral-small3.2__24b,81.53076923076924,80.44558501823359,82.51839842588696,2.0728134076533706
mixtral__8x22b,79.75621301775148,78.64338893125154,80.67469046069066,2.0313015294391192
openai__gpt-4.1,88.10236686390533,87.19028707491681,88.95913610520851,1.7688490302917046
phi3.5__3.8b,73.32840236686391,72.09812448305759,74.32485891741445,2.2267344343568567
phi3__14b,73.25798816568047,72.07060596244858,74.36288979948013,2.2922838370315475
phi4-mini__3.8b,71.26686390532544,69.97600790247668,72.32153072357022,2.345522821093539
phi4__14b,82.18579881656805,81.19843729597231,83.14322469630363,1.9447874003313217
