model,chi2_stat,p_value,dof,cramers_v,n_observations,significant
anthropic__claude-sonnet-4.5,19.68781355178764,0.0005754815202265517,4,0.0586679251901473,5720,Yes
devstral__24b,27.499723711172685,1.5750662366401e-05,4,0.0693371762148544,5720,Yes
gemma3__12b,12.094095163148872,0.01666509552410024,4,0.04598208674309815,5720,Yes
gemma3__1b,167.34554076417862,3.88258799219351e-35,4,0.17104447790066463,5720,Yes
gemma3__27b,9.24073698801794,0.055355942468238654,4,0.04019345045456655,5720,No
gemma3__4b,16.165999963468316,0.002804316478938216,4,0.053162240075424944,5720,Yes
google__gemini-2.5-flash,1.1258967280240515,0.8901419366592357,4,0.014029793024556602,5720,No
llama3.2__1b,262.768709321941,1.1543471233786398e-55,4,0.21433288489122213,5720,Yes
llama3.2__3b,224.04319170086166,2.5281364099536024e-47,4,0.19791005572606282,5720,Yes
llama3.3__70b,10.559134327041228,0.03199210554227931,4,0.04296513126626622,5720,Yes
llama4__16x17b,8.805503439649781,0.06614914469404766,4,0.039235490034666975,5720,No
mistral-large__123b,21.7814601179027,0.00022152592132140982,4,0.06170856968898172,5720,Yes
mistral-small3.2__24b,30.472588884951573,3.921464768583551e-06,4,0.07298887366706885,5720,Yes
mixtral__8x22b,7.113533844360573,0.1300087454089064,4,0.0352650648371038,5720,No
openai__gpt-4.1,6.732009761128925,0.1507463728169369,4,0.03430633736518878,5720,No
phi3.5__3.8b,13.907895606210769,0.007594891576434974,4,0.04930973819445889,5720,Yes
phi3__14b,11.452378018311304,0.021923847778642272,4,0.044745547143992585,5720,Yes
phi4-mini__3.8b,71.63949516481946,1.0227325745473533e-14,4,0.11191240890346714,5720,Yes
phi4__14b,7.431601450185826,0.11476347607440822,4,0.036044847381557325,5720,No
