,Electromagnetic Compatibility,Milestones and Reviews,Configuration and Information Management,Modeling Language SysML v1.x,Modeling Frameworks and Methods,Lifecycle Phases,Architecture Definition Process,Cost Modeling,Generic Life Cycle Stages,"Reliability, Availability, and Maintainability","Supportability, Producibility and Disposability",Modeling and Simulation,Identifying Stakeholder Needs and Generating Requirements,Risk and Opportunity Management Process,"Decision Management, Analysis of Alternatives, and Tradespace Analysis",System Concepts and Structures,Usability and Human Systems Integration,Application and Value of Systems Engineering,System Safety Engineering,Systems Science and Thinking,Mean Delta,Median Delta
openai__gpt-4.1,0.10052631578947369,0.06478260869565218,0.024393939393939395,0.0908125,0.06307692307692307,0.06493589743589744,0.07166666666666667,0.07846153846153846,0.0975,0.0676851851851852,0.09711111111111112,0.04500000000000004,0.05383333333333334,0.11368421052631579,0.13720000000000002,0.09186046511627907,0.10765625000000001,0.05500000000000001,0.11249999999999999,0.09749999999999999,0.08175934723961577,0.08175934723961577
google__gemini-2.5-flash,-0.05855263157894737,0.036304347826086956,0.07287878787878788,0.11503125,0.10942307692307693,0.10410256410256412,0.09125,0.10903846153846154,0.13275,0.08967592592592594,0.12222222222222222,0.10500000000000004,0.09175,0.12789473684210528,0.12840000000000001,0.09232558139534884,0.10859375,0.10181818181818182,0.10875000000000001,0.08194444444444444,0.09353003496691295,0.10410256410256412
anthropic__claude-sonnet-4.5,-0.01907894736842105,0.0041304347826086945,0.10181818181818182,0.058812500000000004,0.0892258064516129,0.06897435897435897,0.05782608695652174,0.003461538461538471,0.063,0.0587962962962963,0.1525,0.025000000000000022,0.05666666666666667,0.12184210526315789,0.1136734693877551,0.10290697674418606,0.115234375,0.09571428571428571,0.08625000000000001,0.09457142857142858,0.07256627818600889,0.07256627818600889
llama4__16x17b,0.23144736842105262,0.07913043478260869,0.24651515151515152,0.15265625,0.2255128205128205,0.11256410256410256,0.09458333333333335,0.10865384615384616,0.15075,0.1225925925925926,0.157,0.040000000000000036,0.09708333333333334,0.1386842105263158,0.18099999999999997,0.09534883720930233,0.13132812500000002,0.15772727272727272,0.19,0.1511111111111111,0.14318443948914217,0.14318443948914217
mistral-small3.2__24b,0.05434210526315791,0.12434782608695652,0.19393939393939394,0.11434375000000001,0.1621794871794872,0.07512820512820513,0.08125,0.0678846153846154,0.09775,0.09796296296296296,0.12033333333333333,0.10499999999999998,0.09283333333333334,0.13394736842105262,0.20440000000000003,0.09906976744186048,0.103203125,0.08954545454545454,0.16749999999999998,0.1436111111111111,0.11642859195654623,0.10499999999999998
phi4__14b,0.09631578947368422,0.04315217391304348,0.17515151515151517,0.14146875,0.18064102564102563,0.05987179487179487,0.10291666666666666,0.10057692307692309,0.07175000000000001,0.06587962962962964,0.12777777777777777,0.03999999999999998,0.06941666666666667,0.13236842105263158,0.1478,0.10313953488372095,0.09585937500000001,0.12454545454545456,0.10125,0.12444444444444445,0.10521629713974893,0.10291666666666666
devstral__24b,0.05197368421052632,0.14282608695652174,0.1996969696969697,0.12925,0.1708974358974359,0.10608974358974359,0.11583333333333334,0.10711538461538463,0.12250000000000001,0.09175925925925926,0.11511111111111112,0.030000000000000027,0.10058333333333333,0.1360526315789474,0.1472,0.11616279069767442,0.138203125,0.13454545454545455,0.1325,0.1363888888888889,0.12123446163572922,0.12250000000000001
llama3.3__70b,-0.03223684210526316,0.0632608695652174,0.1665151515151515,0.107375,0.1844230769230769,0.07064102564102565,0.11666666666666665,0.07980769230769232,0.0815,0.10578703703703704,0.10777777777777779,0.07999999999999996,0.06675,0.1386842105263158,0.10619999999999999,0.11848837209302326,0.143671875,0.08863636363636364,0.04875,0.11194444444444443,0.09773213605142646,0.10578703703703704
gemma3__27b,0.08763157894736842,0.08228260869565218,0.17257575757575758,0.0726875,0.1716025641025641,0.023717948717948724,0.10291666666666666,0.08134615384615386,0.07425,0.09527777777777778,0.12177777777777779,0.11499999999999999,0.077,0.14263157894736841,0.168,0.11558139534883723,0.129140625,0.11863636363636365,-0.020000000000000004,0.14305555555555557,0.10375559262978959,0.10375559262978959
mixtral__8x22b,0.1268421052631579,0.05271739130434782,0.14303030303030304,0.096875,0.17858974358974358,0.10935897435897435,0.09458333333333334,0.07826923076923077,0.11875,0.09662037037037037,0.12000000000000001,0.21999999999999997,0.08675000000000001,0.17763157894736842,0.2286,0.12767441860465117,0.13109375,0.15727272727272726,0.1425,0.13472222222222224,0.1310940574533215,0.12767441860465117
