model,Cross-Cutting Systems Engineering Methods,Lifecycle Stages,Specialty Engineering Activities,Systems Engineering Overview,Technical Management Processes,Technical Processes
openai__gpt-4.1,0.08156903765690376,0.06940972222222223,0.0872982456140351,0.08763888888888889,0.08305194805194806,0.05680555555555557
google__gemini-2.5-flash,0.11315899581589958,0.08642361111111112,0.08133333333333333,0.09118055555555556,0.10448051948051948,0.09166666666666667
anthropic__claude-sonnet-4.5,0.06855345911949687,0.04743055555555556,0.07093309859154931,0.09978873239436621,0.11058823529411765,0.05685314685314686
llama4__16x17b,0.17596234309623432,0.1071875,0.14417543859649123,0.11881944444444444,0.19863636363636364,0.09666666666666666
phi4__14b,0.1538284518828452,0.05618055555555555,0.09010526315789473,0.1117361111111111,0.15571428571428572,0.07500000000000001
devstral__24b,0.14242677824267783,0.12010416666666668,0.10254385964912281,0.12402777777777778,0.16694805194805196,0.10312500000000001
mistral-small3.2__24b,0.1299163179916318,0.09399305555555555,0.09508771929824562,0.10875,0.18253246753246752,0.09090277777777778
llama3.3__70b,0.13240585774058578,0.06979166666666667,0.09303508771929825,0.11229166666666668,0.14006493506493506,0.07506944444444445
gemma3__27b,0.10514644351464435,0.04944444444444445,0.10315789473684212,0.12291666666666666,0.1637012987012987,0.08131944444444444
mixtral__8x22b,0.12405857740585775,0.09256944444444444,0.11105263157894738,0.13395833333333332,0.17935064935064934,0.08805555555555555
phi4-mini__3.8b,0.2485355648535565,0.1195486111111111,0.18105263157894738,0.1388888888888889,0.18181818181818182,0.10743055555555556
phi3.5__3.8b,0.1830753138075314,0.10600694444444445,0.13557894736842105,0.16125,0.2088961038961039,0.09590277777777778
phi3__14b,0.21707112970711298,0.11274305555555555,0.16522807017543858,0.09305555555555556,0.20461038961038963,0.12881944444444446
gemma3__12b,0.09792887029288704,0.06770833333333333,0.12466666666666668,0.10993055555555556,0.16493506493506493,0.07541666666666667
mistral-large__123b,0.06276150627615062,0.015416666666666669,0.06101754385964912,0.08555555555555555,0.06636363636363637,0.042361111111111106
gemma3__4b,0.10820083682008368,0.09552083333333333,0.12287719298245615,0.12034722222222223,0.17123376623376624,0.04923611111111112
llama3.2__3b,0.2732845188284519,0.4806944444444444,0.40007017543859646,0.5252083333333333,0.46733766233766233,0.32916666666666666
gemma3__1b,0.11192468619246862,0.09687499999999999,0.05847368421052631,0.11402777777777777,0.125,-0.017638888888888885
llama3.2__1b,0.1401673640167364,0.019652777777777776,0.1535263157894737,0.06770833333333333,0.11064935064935065,0.10743055555555556
