model,pearson_r,spearman_rho,cohens_d,abs_cohens_d,wilcoxon_p,classification,n_questions
llama3.2__3b,0.04914718451112501,0.011253186225122445,0.8317185611548878,0.8317185611548878,1.8636375396148577e-81,Divergent,845
phi4-mini__3.8b,0.40508914393728784,0.37313988635536544,0.6761500642304252,0.6761500642304252,3.830837676998143e-77,Divergent,845
phi3__14b,0.31010398524817756,0.22770025116163006,0.5839583414353169,0.5839583414353169,5.328471189037496e-66,Divergent,845
llama4__16x17b,0.2750586281677512,0.1494624849901272,0.571877321539722,0.571877321539722,8.033621981953529e-83,Divergent,845
devstral__24b,0.40814247078819405,0.25862553056933696,0.5315311098041487,0.5315311098041487,1.636250759128107e-75,Divergent,845
phi3.5__3.8b,0.40175440659699424,0.3345447329676473,0.5225923823078267,0.5225923823078267,4.684829369763341e-60,Divergent,845
phi4__14b,0.4431834211551793,0.3019958695142362,0.4859838759197601,0.4859838759197601,4.847426809596348e-74,Mixed evidence (low association + small d),845
mistral-small3.2__24b,0.3382126295565274,0.17405736797006896,0.45503995898152044,0.45503995898152044,1.6408599409067332e-71,Mixed evidence (low association + small d),845
mixtral__8x22b,0.35434524132592665,0.2746506630058139,0.45387790061153666,0.45387790061153666,4.868488515433168e-67,Mixed evidence (low association + small d),845
google__gemini-2.5-flash,0.3327904966899695,0.14182437874200773,0.4457933963410148,0.4457933963410148,5.115958594215146e-83,Mixed evidence (low association + small d),845
llama3.3__70b,0.3260418103043504,0.16744365150990914,0.41433112209673056,0.41433112209673056,5.313069491699404e-75,Mixed evidence (low association + small d),845
gemma3__27b,0.3804403350584515,0.3073405282529293,0.41376406614528716,0.41376406614528716,2.649374934605227e-73,Mixed evidence (low association + small d),845
gemma3__4b,0.43769732469357936,0.3978974655390661,0.38218092109723006,0.38218092109723006,4.8703983368521685e-46,Mixed evidence (low association + small d),845
gemma3__12b,0.4056507129668562,0.32452812741634846,0.38104984188751806,0.38104984188751806,1.2147091710163794e-56,Mixed evidence (low association + small d),845
openai__gpt-4.1,0.2842624882923099,0.12662737937591131,0.37346245084383867,0.37346245084383867,9.158507481870725e-88,Mixed evidence (low association + small d),845
llama3.2__1b,0.4149355087584103,0.41318832135990363,0.36468161672816074,0.36468161672816074,1.2815531406628975e-27,Mixed evidence (low association + small d),845
anthropic__claude-sonnet-4.5,0.3298294261334998,0.11875945391579787,0.35170101404069165,0.35170101404069165,1.951486931172884e-74,Mixed evidence (low association + small d),844
gemma3__1b,0.4454125287225516,0.4439311112734176,0.258099317918269,0.258099317918269,1.9628171541380438e-16,Mixed evidence (low association + small d),845
mistral-large__123b,0.40530946434949927,0.2420380940572914,0.2144779315694053,0.2144779315694053,2.1266674193569273e-31,Mixed evidence (low association + small d),845
