Category,Mean MCQ Acc.,Mean OSQ Score,Mean Delta,Median Delta,N,Classification
Generic Life Cycle Stages,0.9842105263157894,0.8453815789473684,0.13882894736842105,0.07999999999999996,760,Dual-modality recommended
Systems Science and Thinking,0.9787701317715959,0.8436163982430454,0.1351537335285505,0.07999999999999996,683,Dual-modality recommended
System Concepts and Structures,0.9694002447980417,0.8388066095471236,0.130593635250918,0.07999999999999996,1634,Dual-modality recommended
Application and Value of Systems Engineering,0.9568345323741008,0.8177458033573142,0.13908872901678657,0.10999999999999999,417,Dual-modality recommended
Identifying Stakeholder Needs and Generating Requirements,0.956798245614035,0.8630394736842105,0.09375877192982457,0.06000000000000005,2280,Dual-modality recommended
Cost Modeling,0.930161943319838,0.8240688259109311,0.1060931174089069,0.07999999999999996,988,Dual-modality recommended
"Supportability, Producibility and Disposability",0.9285714285714286,0.7849180327868853,0.14365339578454334,0.07999999999999996,1708,Dual-modality recommended
Architecture Definition Process,0.9263736263736264,0.8476703296703296,0.0787032967032967,0.06999999999999995,455,Dual-modality recommended
"Reliability, Availability, and Maintainability",0.9227582846003899,0.8202631578947369,0.10249512670565301,0.06999999999999995,4104,Dual-modality recommended
Lifecycle Phases,0.8741565452091767,0.7808265856950067,0.09332995951417004,0.07999999999999999,2964,Dual-modality recommended
Modeling Language SysML v1.x,0.8490953947368421,0.7310559210526315,0.11803947368421054,0.09999999999999998,6080,Dual-modality recommended
Milestones and Reviews,0.8260869565217391,0.7305549199084668,0.09553203661327232,0.08999999999999997,1748,Dual-modality recommended
Electromagnetic Compatibility,0.6904432132963989,0.5676454293628809,0.122797783933518,0.08999999999999997,1444,Dual-modality recommended
Modeling and Simulation,1.0,0.8036842105263158,0.19631578947368422,0.11499999999999999,38,Dual-modality required
Risk and Opportunity Management Process,0.9646814404432132,0.8110110803324099,0.15367036011080332,0.10499999999999998,722,Dual-modality required
System Safety Engineering,0.9605263157894737,0.7841447368421053,0.17638157894736842,0.14500000000000002,152,Dual-modality required
Usability and Human Systems Integration,0.959703947368421,0.8025493421052632,0.1571546052631579,0.08999999999999997,2432,Dual-modality required
"Decision Management, Analysis of Alternatives, and Tradespace Analysis",0.9499473129610115,0.7678925184404637,0.18205479452054796,0.12,949,Dual-modality required
Modeling Frameworks and Methods,0.8579142760715491,0.6719406007424907,0.18597367532905837,0.10999999999999999,2963,Dual-modality required
Configuration and Information Management,0.7954545454545454,0.6305422647527911,0.1649122807017544,0.12,1254,Dual-modality required
